date,contract,spot_close,futures_close,basis
2026-01-05,LH2601,12120.00,11490.00,630.00
2026-01-05,LH2603,12120.00,11660.00,460.00
2026-01-05,LH2605,12120.00,12110.00,10.00
2026-01-05,LH2607,12120.00,12800.00,-680.00
2026-01-05,LH2609,12120.00,13710.00,-1590.00
2026-01-05,LH2611,12120.00,13770.00,-1650.00
2026-01-06,LH2601,12250.00,11525.00,725.00
2026-01-06,LH2603,12250.00,11810.00,440.00
2026-01-06,LH2605,12250.00,12255.00,-5.00
2026-01-06,LH2607,12250.00,12940.00,-690.00
2026-01-06,LH2609,12250.00,13890.00,-1640.00
2026-01-06,LH2611,12250.00,13890.00,-1640.00
2026-01-07,LH2601,12200.00,11830.00,370.00
2026-01-07,LH2603,12200.00,11785.00,415.00
2026-01-07,LH2605,12200.00,12260.00,-60.00
2026-01-07,LH2607,12200.00,12940.00,-740.00
2026-01-07,LH2609,12200.00,13885.00,-1685.00
2026-01-07,LH2611,12200.00,13875.00,-1675.00
2026-01-08,LH2601,12250.00,11880.00,370.00
2026-01-08,LH2603,12250.00,11720.00,530.00
2026-01-08,LH2605,12250.00,12200.00,50.00
2026-01-08,LH2607,12250.00,12860.00,-610.00
2026-01-08,LH2609,12250.00,13770.00,-1520.00
2026-01-08,LH2611,12250.00,13785.00,-1535.00
2026-01-09,LH2601,12170.00,11950.00,220.00
2026-01-09,LH2603,12170.00,11770.00,400.00
2026-01-09,LH2605,12170.00,12215.00,-45.00
2026-01-09,LH2607,12170.00,12895.00,-725.00
2026-01-09,LH2609,12170.00,13815.00,-1645.00
2026-01-09,LH2611,12170.00,13745.00,-1575.00
2026-01-12,LH2601,12360.00,12110.00,250.00
2026-01-12,LH2603,12360.00,11735.00,625.00
2026-01-12,LH2605,12360.00,12165.00,195.00
2026-01-12,LH2607,12360.00,12825.00,-465.00
2026-01-12,LH2609,12360.00,13730.00,-1370.00
2026-01-12,LH2611,12360.00,13705.00,-1345.00
2026-01-13,LH2601,12440.00,12160.00,280.00
2026-01-13,LH2603,12440.00,11795.00,645.00
2026-01-13,LH2605,12440.00,12170.00,270.00
2026-01-13,LH2607,12440.00,12830.00,-390.00
2026-01-13,LH2609,12440.00,13750.00,-1310.00
2026-01-13,LH2611,12440.00,13660.00,-1220.00
2026-01-14,LH2601,12500.00,12180.00,320.00
2026-01-14,LH2603,12500.00,12010.00,490.00
2026-01-14,LH2605,12500.00,12260.00,240.00
2026-01-14,LH2607,12500.00,12885.00,-385.00
2026-01-14,LH2609,12500.00,13825.00,-1325.00
2026-01-14,LH2611,12500.00,13760.00,-1260.00
2026-01-15,LH2601,12500.00,12100.00,400.00
2026-01-15,LH2603,12500.00,11950.00,550.00
2026-01-15,LH2605,12500.00,12210.00,290.00
2026-01-15,LH2607,12500.00,12830.00,-330.00
2026-01-15,LH2609,12500.00,13745.00,-1245.00
2026-01-15,LH2611,12500.00,13715.00,-1215.00
2026-01-16,LH2601,12490.00,12100.00,390.00
2026-01-16,LH2603,12490.00,11980.00,510.00
2026-01-16,LH2605,12490.00,12155.00,335.00
2026-01-16,LH2607,12490.00,12760.00,-270.00
2026-01-16,LH2609,12490.00,13660.00,-1170.00
2026-01-16,LH2611,12490.00,13655.00,-1165.00
2026-01-19,LH2601,13220.00,12140.00,1080.00
2026-01-19,LH2603,13220.00,11705.00,1515.00
2026-01-19,LH2605,13220.00,11945.00,1275.00
2026-01-19,LH2607,13220.00,12605.00,615.00
2026-01-19,LH2609,13220.00,13430.00,-210.00
2026-01-19,LH2611,13220.00,13445.00,-225.00
2026-01-20,LH2601,13180.00,12030.00,1150.00
2026-01-20,LH2603,13180.00,11550.00,1630.00
2026-01-20,LH2605,13180.00,11895.00,1285.00
2026-01-20,LH2607,13180.00,12555.00,625.00
2026-01-20,LH2609,13180.00,13450.00,-270.00
2026-01-20,LH2611,13180.00,13415.00,-235.00
2026-01-21,LH2601,13040.00,11900.00,1140.00
2026-01-21,LH2603,13040.00,11470.00,1570.00
2026-01-21,LH2605,13040.00,11820.00,1220.00
2026-01-21,LH2607,13040.00,12450.00,590.00
2026-01-21,LH2609,13040.00,13375.00,-335.00
2026-01-21,LH2611,13040.00,13390.00,-350.00
2026-01-22,LH2601,12970.00,11900.00,1070.00
2026-01-22,LH2603,12970.00,11600.00,1370.00
2026-01-22,LH2605,12970.00,11895.00,1075.00
2026-01-22,LH2607,12970.00,12555.00,415.00
2026-01-22,LH2609,12970.00,13460.00,-490.00
2026-01-22,LH2611,12970.00,13430.00,-460.00
2026-01-23,LH2601,13090.00,12000.00,1090.00
2026-01-23,LH2603,13090.00,11565.00,1525.00
2026-01-23,LH2605,13090.00,11850.00,1240.00
2026-01-23,LH2607,13090.00,12470.00,620.00
2026-01-23,LH2609,13090.00,13390.00,-300.00
2026-01-23,LH2611,13090.00,13360.00,-270.00
2026-01-26,LH2601,12990.00,11810.00,1180.00
2026-01-26,LH2603,12990.00,11465.00,1525.00
2026-01-26,LH2605,12990.00,11760.00,1230.00
2026-01-26,LH2607,12990.00,12425.00,565.00
2026-01-26,LH2609,12990.00,13365.00,-375.00
2026-01-26,LH2611,12990.00,13335.00,-345.00
2026-01-27,LH2601,13030.00,12690.00,340.00
2026-01-27,LH2603,13030.00,11285.00,1745.00
2026-01-27,LH2605,13030.00,11695.00,1335.00
2026-01-27,LH2607,13030.00,12375.00,655.00
2026-01-27,LH2609,13030.00,13320.00,-290.00
2026-01-27,LH2611,13030.00,13305.00,-275.00
2026-01-28,LH2603,12820.00,11270.00,1550.00
2026-01-28,LH2605,12820.00,11695.00,1125.00
2026-01-28,LH2607,12820.00,12370.00,450.00
2026-01-28,LH2609,12820.00,13280.00,-460.00
2026-01-28,LH2611,12820.00,13285.00,-465.00
2026-01-28,LH2701,12820.00,13300.00,-480.00
2026-01-29,LH2603,12590.00,11165.00,1425.00
2026-01-29,LH2605,12590.00,11640.00,950.00
2026-01-29,LH2607,12590.00,12305.00,285.00
2026-01-29,LH2609,12590.00,13235.00,-645.00
2026-01-29,LH2611,12590.00,13220.00,-630.00
2026-01-29,LH2701,12590.00,13345.00,-755.00
2026-01-30,LH2603,12510.00,11220.00,1290.00
2026-01-30,LH2605,12510.00,11650.00,860.00
2026-01-30,LH2607,12510.00,12345.00,165.00
2026-01-30,LH2609,12510.00,13305.00,-795.00
